text,user_id,username,likes,comment_id,post_id,post_title,channel,published_at,updated_at,reply_count,party,source_file,search_query,sentimiento,confianza
La finalidad de esa cartilla es confundir a la población y que anulen los votos,UCpVnQ8QsAhNup5sDInEO3fQ,@danilo-cu6un,0,UgzyP1yVRvC0-sDplGl4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T01:51:29Z,2026-04-11T01:51:29Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.4843277931213379
No entiendo alquien q me eduque...... Pa votar pa lima   aparte pa votar x mi distrito q es ate como es que columna esta no entiendo ni pi...,UCqzYpkO9_vzh0BYu0Sv0gWQ,@WalterMiraval-l6z,0,Ugy5jtexx0hXmiEZ16N4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-11T01:09:18Z,2026-04-11T01:09:18Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.8567590117454529
Que es único y multiple,UCARrqIpPYHOIes7WV-dqQ9A,@roriogilva,0,Ugy1tZ0fa0tANSHlVdt4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-10T14:05:35Z,2026-04-10T14:05:35Z,0,neutral,rpp_elecciones.json,rpp elecciones,positive,0.8189971446990967
"OJO CON LA ONPE ,, EL CUENTO DE LA LAPTOP ,,,ATENTOS",UCtWZ46Hhl0Vl7I_h4AYI1IA,@DINOHERE-di8pb,0,Ugw1OaDNJ9tDrso-t154AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-09T19:26:54Z,2026-04-09T19:26:54Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5892775058746338
"Este pata es más bruto para explicar , mejor dicho con esta explicación vicias tu voto",UCBvtk2HAkIWKnk9hAmZ-UeQ,@gregorioramosramosruiz4095,0,Ugzo6LPulYBoS0teRRN4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-09T02:24:40Z,2026-04-09T02:24:40Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9617496132850647
Voten por Belmont es la mejor opcion mas equilibrada de centro ni de izquierda ni de derecha,UC_v4v99IEJXqUSLRDyugppg,@KonekoNeko-o9i,0,UgzUCVIAqAomfH8GdP94AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-08T06:35:53Z,2026-04-08T06:35:53Z,0,neutral,rpp_elecciones.json,rpp elecciones,positive,0.6398112773895264
No entiendo 😵😵😭😭😭😭 y ya falta poco para el domingo,UCskgIf8XwAIjBQtCzq3y9Ew,@anagarrido7613,0,UgxWvgcZ37yxj-d34KB4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-08T04:06:23Z,2026-04-08T04:06:23Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.6187572479248047
Que burla total !,UCPopCTWjOcpzSZNVpr1hZXw,@erika8154,0,UgzgKDiViA_sOjuSAgp4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-07T22:55:23Z,2026-04-07T22:55:23Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9731730818748474
Voto preferencial que es eso ??,UCmdxvxwzHuKqkL2pS5bKEJg,@HugoVilca-zn2bp,0,Ugyx5hPxlKLvn0x4Gf14AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-07T18:40:15Z,2026-04-07T18:40:15Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5747594237327576
PURO LADRON.,UCnU8uefnFhiIR5SnmcvW17Q,@SabinoCR-h6f,0,Ugw9eaOzm7eQWYjcodl4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-07T17:30:46Z,2026-04-07T17:30:46Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9725832343101501
Pésima explicación,UCl1ULGPlFn_3sLtEPMffBXg,@luisavarillas9233,0,Ugze3jO8KtmdXG8KHRZ4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-07T04:37:56Z,2026-04-07T04:37:56Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.4366530478000641
Qué estafa de 💩. Malditos ladrones.,UCsR7Qm23oBQYtJ09Qyc2nBg,@axeflanker,1,Ugyp37Mpm2XDzm4-2E14AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-06T14:37:13Z,2026-04-06T14:37:13Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9742127656936646
"Mejor no voto, me quedo viendo Netflix 😂",UChzXIJYynkgOehx9bD-FBXQ,@joseandres1723,0,Ugx66fDljjbbTyKpDgx4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-05T20:49:27Z,2026-04-05T20:49:27Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5754163861274719
😂porq tantas columnasss,UCIED_nBDFBD5NRZR1F77jow,@mishellfernandezlopez929,0,UgyVqlpQjF8p4tGpfgl4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-05T13:03:27Z,2026-04-05T13:03:27Z,0,neutral,rpp_elecciones.json,rpp elecciones,positive,0.45214250683784485
No se entiende en las dos ultimas columnas,UCIUDTXvv8FjAOtiZpeVP3og,@gisellabaltazar6116,0,UgywGl4qniFlWLE88It4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-04T18:24:56Z,2026-04-04T18:24:56Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.6068920493125916
"ONPE CORRUPTA, NO TE FA VERGUENZA PRESENTAR ESO!",UCpezZ8f9IxLcKK-8WVNg07g,@Eduardo77477,0,UgxQWnAsH1pm1H_ayyl4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-04T06:59:44Z,2026-04-04T06:59:44Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9716193675994873
"Distrito nacional único (lo eligen todos los peruanos, tanto los que viven en el país como los que residen fuera) y Distrito Electoral Múltiple (aquí se vota por un (a) senador (a) que representa a una región (Lima, Ayacucho, Arequipa, etc) incluído también el extranjero)",UCPqPKV9tkW1w4bF6tx7JWbw,@Dey-c1y,0,UgyiwmXK0PlkTEvOQNJ4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-04T00:21:40Z,2026-04-04T00:23:45Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.7249819040298462
Y hay gente  que esta promoviendo el voto nulo . No caer en eso porque se benefician directamente los que ya estuvieron en el poder.,UC_NJCGFk5rNZFcy4BiMeGUA,@wilfercahuanavega8832,0,UgxPc6r67uk7PaR7AvV4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-03T19:59:15Z,2026-04-03T19:59:15Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9350004196166992
"Lo único que sé, que para no confundirse es mejor votar por un solo partido y en línea recta.
Marca por López Chao, símbolo los casquitos.😂😊",UCZzRaCAMNbiw5CkiQVAb3pQ,@terezavalencia916,0,Ugz18KW70nVwYzDQ60R4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-03T01:37:18Z,2026-04-03T01:37:18Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5988360047340393
ES HORA DE TENER UN PRESIDENTE HONESTO Y DIRECTO  PORKY TRABAJA PORKY ES HONESTO PORKY PRESIDENTE,UCJi_eX0k1b994ACVxgBrVKg,@deysipachas5672,0,UgxO7zAgS2rzASIF4tl4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-04-01T11:14:40Z,2026-04-01T11:14:40Z,0,neutral,rpp_elecciones.json,rpp elecciones,positive,0.4775237441062927
EXPLICA BIEN,UCE_uLFgohbcdDcMG7OmyA6g,@JorgeGuzmanCjuno-b5i,0,UgzXYndD1KqRYwEe5h94AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-31T17:53:38Z,2026-03-31T17:53:38Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5513894557952881
Los delincuentes que hicieron este mamotreto fueron elegidos por nosotros.  Si queremos un país en serio elijamos seriamente INFORMADOS.,UCq7_3TTV2_yhFUoiWpZOL3w,@marioromerobellido2699,0,Ugz8qycxHDm5G8Hlt5V4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-28T01:37:58Z,2026-03-28T01:37:58Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.5997999310493469
No te entendí ni mierda,UCtf6iwpwq8y1zFb-YDTkIZw,@fabiantalledobriceno5206,0,UgzieZRXo_wBsPaC9yJ4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-28T00:36:03Z,2026-03-28T00:36:03Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.5719289183616638
NO VOTEN POR NINGUN PARTIDO QUE YA ESTE EN EL CONGRESO,UCaOWgLdPHzWIpAIesrfLs5Q,@Oscar-bx2no,0,Ugx5ujtENJ6PPi7FG-14AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-24T21:17:14Z,2026-03-24T21:17:14Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.4682963788509369
Más claro que el agua y recontra fácil xd,UCm9hjcWlj1liNkgI5xaKsZQ,@ciroalonso609,0,UgxmwPrd6HydNPwIZtl4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-24T17:52:57Z,2026-03-24T17:52:57Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5514633655548096
"que laberinto de mierd , congreista de mier da  que apoyaron esta mie da",UCOHQ5CdxfMl3u_ctCLmMLSg,@julioalva-bs4fw,0,Ugzg0DBHxTqjCPcf6e14AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-24T04:29:36Z,2026-03-24T04:29:36Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9843512773513794
Esa cédula ya es gigante sin ser a escala 😅,UCKOrb4sNI9jkMO-BP6_aQqw,@MidaPaco,0,UgzqyWzAHoQI5Ng5Iop4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-22T18:10:08Z,2026-03-22T18:10:08Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.6420217156410217
Me vale verga los diputados,UCxHkrmUqEqvljBrjSxaVGjA,@Roemwers,0,UgyZ-gXBEzHHSpAX68d4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-22T15:06:35Z,2026-03-22T15:06:35Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.7739025354385376
Mucha huevada,UCxHkrmUqEqvljBrjSxaVGjA,@Roemwers,0,Ugwvm0SuDx8fEI8KuYV4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-22T15:05:09Z,2026-03-22T15:05:09Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5425916314125061
En tik tok con Cesar Combina explica muy claro con la cedula como se debe votar...Se entiende muy bien!!!...,UC1lcrPb3iLXSOKTY0SoWO2g,@PaolaGarrido-vm1fr,4,UgyuLGfpzrl-fj9CjLB4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-21T05:16:39Z,2026-03-21T05:16:39Z,1,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.47622284293174744
"Q ASCO, COMO MRDA VOTAREMOS AHORA
SI NO SE ENTIENDE NI PNCHOÇ",UCNSToWaxcAsLkYwmI00OJFg,@MoisesdaymlerRimacpio,0,UgwT1yY4KMEnxJqU40x4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-21T00:48:16Z,2026-03-21T00:48:16Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9818005561828613
"Y NINGÚN MEDIO HACE ENTREVISTA  A LOS  CANDIDATOS PARS EL PARLAMENTO  
A N D I N O O O O !!!’
¿ QUÉ LADTON SERÁ???",UC59Mcw5k5kHT5aQUUTWlHkA,@nancyyance9175,0,UgzIjh30ynnNOKjPQGV4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-21T00:11:36Z,2026-03-21T00:11:36Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.841625452041626
"La gente del pueblo, campesinos, agricultores, mineros obreros, …etc.. choferes, albañiles…etc.  ESTÁN CONCENTRADOS  EN SU TRABAJO Y ¡ NO TIENEN TIEMPO PARA RA VER ESTE JUEGO  DE TABLERO DE TRAMPA!¡ ellos van y dicen SI SIGUEN O ENTRAN NUEVOS LADRONES  🥷🏼🐀💰💰MÁS DE 30 de años  me da igual quien entre!!! Mucha gente que se dedica a trabajar y salir solos sin ayuda de todos los gobiernos van hacer lo mismo.
Sinceramente hay una gran RESPONSABILIDAD DE CADA CIUDADANO ¿ AQUIEN van elegir para que gobierne URL PAÍS SIN MAFIAS ASESINAS,NARCIS,CORRUPCIÓN, LADRONES, TRATAS DE PERDONAS,EXPLOTACIÓN DE TRABAJADORES…etc..etc? ¿ A QUIÉN ???
También Para el SENADO,.. todos esa sábanas No LO ENTIENDEN !!!! 
¿ POR QUD NO HICIERON EN DOS PARTES LAD ELECCIONES? Por lo menos así tienen tiempo pa ANALIZAR CADA CANDIDATO!
O cada ALIBABAS; por que muchos de ellos se pelean por OPORTUNISMO, SON HIPÓCRITAS, se subieron a cualquier partido con tal de llegar al poder y cobrar💰💰💰🐀🐀🐀💰💰💰💰LUEGO NO LES INTERESA EL PUEBLO MENOS DU PARTIDO LIS TRAICIONAN.",UC59Mcw5k5kHT5aQUUTWlHkA,@nancyyance9175,16,UgxnWBVu7TAeEXiU1BZ4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-21T00:10:02Z,2026-03-21T00:10:02Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.6771992444992065
No entiendo nada deben de invalidar senadores y diputados no estoy de acuerdo  ya que van a empobrecer más al país.  Sólo entran a robar,UCMyHUldvzdVdy95Ylj_XRkA,@valentinosorianomori2820,0,UgxcW574zz0dsBsxh3V4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-19T14:57:19Z,2026-03-19T14:57:19Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9564393162727356
Publiquen la cedula de votación actual con los partidos y no dibujitos en la pavina de la ONPE TIDOS LOS PERUANOS TENEMOS EL DERECHO DE CONOCER ANTES DE VOTAR,UCpAgeCd9yc1MGtHNoUbvycw,@lucygranados765,0,Ugz3NGBh5cTfbt9OFXF4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-18T12:47:07Z,2026-03-18T12:47:07Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5604996681213379
Me esta dando unas ganas de invalidar mi voto,UCUNcC_J2PuDqa3yuinJxAQw,@juliocanal195,0,Ugz9ZWkVa4eD8-mgw0Z4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-17T03:00:01Z,2026-03-17T03:00:01Z,1,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9522669315338135
Pero puedo marcar las cinco colomnas pero de diferentes partidos?,UChIPltH9cMCOcTPo3jABrAg,@CesarContreras-e4j,1,UgyWZuwDiaeKJZ_65NR4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-15T23:04:42Z,2026-03-15T23:04:42Z,1,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.7533167600631714
"Que desastre, tanta gente que se presenta, para hacer nada y solo robar",UCmsZ3A59-LfSDcqT_Qlg4ew,@luissantos-pm2hv,2,Ugw7fclP85fAH7BwC754AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-15T18:09:42Z,2026-03-15T18:09:42Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9775682687759399
Lo que no entendi es porque sale 2 columnas para senador y diputados,UCXtLxxYfq2u504-9cuJLCag,@joseluisccentemayhua2544,0,Ugxn-EZrWPPbn9KIf554AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-13T23:25:17Z,2026-03-13T23:25:17Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.7871397137641907
El chico explica muy rápido y se explaya mucho. Lo que debe hacer la gente es solo marcar los símbolos del partido por el que vas a votar en toda la fila,UCZ_w1tpcR6fcfv51k1ETD4A,@rocker5347,0,Ugwj99vGvlib-_G-wFZ4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-13T18:03:55Z,2026-03-13T18:03:55Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5495912432670593
basura de elecciones,UCxUQrzyxLuNcr2HxM6TgV3w,@danieldaniel2370,0,UgwhtO_Pjc2LVtJBCtB4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-12T14:21:28Z,2026-03-12T14:21:28Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.9536363482475281
"Nosotros hemos permitido que el congreso inserte a su conveniencia la bicameralidad que la ciudadanía en general o los peruanos en su totalidad no quieren! Porque si lo hubiesen sometido a consulta, jamás hubiese procedido....ahora nos encontramos que debemos hacer frente a ese pupiletras que tenemos por cartilla de sufragio ......y con reglas para su marcado antojadisas que vulneran nuestro derecho a elegir a quienes queramos elegir y no obliguen a marcar figuritas en una misma columna del mismo símbolo porque sino es invalido?...Dios nos encuentre confesados!!",UCKeH08vN61kgkeobIRpnYiA,@AlexisLama-k1r,2,UgzJyUagnhsRHvXB-JZ4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-09T10:07:46Z,2026-03-09T10:07:46Z,0,neutral,rpp_elecciones.json,rpp elecciones,neutral,0.5287029147148132
"Osea que estos pendejos del JNE está comprado ,,, quiere que los votos de los adultos y adultos mayores no cuenten ,,, porque esto es más emborroso esa cartilla.",UCUiVhL_h6LcNoSU93b0PdOw,@cesarobregon5020,0,UgxLFSt3ZEFb6t1z5Wd4AaABAg,7YPhGb-VcRE,🔴🗳️ Las claves para votar en las próximas elecciones 2026,RPP Noticias,2026-03-08T19:09:02Z,2026-03-08T19:09:02Z,0,neutral,rpp_elecciones.json,rpp elecciones,negative,0.943982720375061
